Size,lon,lat
1477,-147.82682584272143,64.853732471767
1511,-147.74180714956992,64.8403625064195
1181,-147.7141385965284,64.85316191236244
1126,-146.61482762291266,64.46984903765538
480,-149.31747049354155,64.07278185270839
1241,-149.45418108952418,61.58378416027387
1464,-149.19753444207626,61.59063136215837
1240,-149.36377095185483,61.5827228467742
750,-149.36373156280004,60.96042165106663
1305,-149.044677298314,61.6221232397701
1509,-149.81428630463884,61.18907062504962
1432,-149.796347733799,61.21075305628485
1181,-149.73715455935636,61.219915571549535
962,-149.6093913599792,61.43831843742195
916,-149.79467058777288,61.09853700251085
1191,-149.9097108895885,61.18640919882465
1424,-149.8617136667833,61.18565977928378
1130,-149.8580484500882,61.13082601168144
1500,-149.90432396253357,61.19141734273335
755,-149.86307784940385,61.22750259456949
1506,-151.51388993326685,59.64268752616214
1337,-151.21029729648492,60.36667373178757
1148,-150.01645450810105,61.57925229120214
80,-149.34381110500004,61.45981982875001
48,-152.58021983750004,60.108409031249984
75,-150.0234619746667,61.19652879466668
76,-149.11678282631578,61.58585026052631
52,-149.1225929576923,61.58937600769231
80,-151.24307183749997,60.53909020625005
38,-149.44087385526316,60.08675844736842
55,-149.26864627090916,61.54825037999999
77,-150.0075014844156,61.22620345714285
78,-149.11732088717952,61.55337096666668
80,-151.5099974625,59.65786501249998
77,-149.6546884584416,61.35489272467533
62,-151.33714933064513,60.124309182258045
79,-150.02902387468356,61.257120115189885
68,-148.90204568823526,61.62253879705883
66,-147.72082348333333,64.85040337121211
51,-147.71916605490196,64.85360104705882
59,-149.19330426440678,64.30990184745764
67,-147.7422616910448,64.84469662388058
50,-148.95008265399994,63.77549453799998
50,-147.63302708000003,64.833369648
46,-145.7409995195652,63.67229465652173
8700,-149.1632107564713,61.60469004735634
6269,-149.1680476426232,61.67659364273441
8700,-149.84970701189675,61.165284185792885
8700,-149.4251600863099,61.48611727336792
8700,-149.25534175188528,61.56604816856322
8700,-149.19720958660884,61.57910092106917
7081,-149.2101135659939,61.59374546784348
3783,-151.2616793602694,59.81795004427704
